id,createdAt,listing,state,rating,content,type,transaction,sentiment
78b847e0-ff0f-4ebd-98af-68a3c6a33e38,2021-12-17 15:38:48.032752+00:00,,public,5,"Clara était top : très très sympathique, flexible et soigneuse. Je serais ravie de la croiser à nouveau sur l’appli :)  ",ofCustomer,Transaction object (63f7a581-b394-424f-9f68-7dabf9ff8ad9),POSITIVE
3287bb15-ce79-4f62-953d-2f883619d7f4,2021-12-17 15:35:46.728627+00:00,,public,5,"Agathe était sympathique et disponible, c’était un plaisir de la rencontrer ! ",ofCustomer,Transaction object (c4e2ea4a-9b5c-4dd1-851f-5e00d9c7c92c),POSITIVE
e7bbb468-9fb1-496e-831e-4371d9ab9fd0,2021-12-17 08:47:04.138786+00:00,Elegante capeline | 5d85e13f-8774-4fe3-b11a-35e35e0a2e23,public,5,Au top du top !!,ofProvider,Transaction object (49137467-2b04-4403-b0c3-7ed9c772eeaf),POSITIVE
10114ae4-6bd5-436f-bb92-cd9a07cc9991,2021-12-17 08:46:23.017359+00:00,Robe Sezane Sollie | 5f92b13a-b8d7-4690-adce-6ef1335ff2e9,public,5,"Merci beaucoup Constance pour cette location, arrangeante et très fiable ! À bientôt ",ofProvider,Transaction object (c0ff826d-0810-476c-a6b4-f2b7ea44e5ab),POSITIVE
287d8ecb-1963-44b8-b603-94e70482534c,2021-12-17 08:45:20.744426+00:00,"Robe verte An&be, TS | 9de51bcc-6682-4ffe-90f6-f3be9fe3853d",public,5,Experience au top avec Constance 😍 merci !,ofProvider,Transaction object (3c631fe9-8f23-4845-b6ec-676b8e050f51),POSITIVE
04e732f8-5848-465c-ac2b-d4274af7cdd9,2021-12-17 08:44:37.938398+00:00,Robe jaune dentelle Sandro T. S/36 | 5f89a18f-f4d7-4e8e-9656-efcb1e599a87,public,5,"Merci Alixe pour votre gentillesse et cette belle robe, elle a fait sensation ! À très vite !",ofProvider,Transaction object (32fc1a98-ab63-4690-bfd6-4941c4dfd376),POSITIVE
419c070a-d3b7-4c0b-95ca-ab2555d4bf1c,2021-12-17 08:42:55.198093+00:00,Capeline rose fushia Masario | 5fa0e9be-1dad-4615-b8c1-55e546ba682e,public,5,"Super expérience avec Camille qui a été super arrangeante, merci encore ! Et le chapeau était dingue !",ofProvider,Transaction object (07c8e01d-6d4a-408b-97f7-5bcbc70c9c19),POSITIVE
b3dce927-d0e3-4a88-b379-e87841c4fdd0,2021-12-16 14:27:53.249542+00:00,,public,5,Super expérience avec Lauriane :) un plaisir de t'ouvrir ma garde robe ! ,ofCustomer,Transaction object (67ef2aa4-e2c9-45cb-9ac3-6aa3e1375d7c),POSITIVE
39ea425f-786d-4235-8225-fa71b70bd096,2021-12-16 10:51:11.258392+00:00,Robe Zara manches volants T38 | 5f428a07-d54c-472d-ac05-2b28df13dcf7,public,5,"Deuxième location au top avec Diane, je ne peux que recommander !",ofProvider,Transaction object (e78353d9-ec7c-48ff-a5fd-33785c141385),POSITIVE
637d0851-78bb-4f17-9655-8fe15c2fff35,2021-12-16 10:50:35.110951+00:00,Capeline en paille et hortensias séchés | 5f423064-5adf-4620-b9ca-45f9e486fca8,public,5,"Merci encore Diane ! Capeline de qualité, communication parfaite, une Goldie en or !! À très vite ",ofProvider,Transaction object (f73ac17a-8336-46b9-99af-426d345afa7a),POSITIVE
70b2c355-68f8-4b33-bb70-d11ea2076719,2021-12-16 10:47:57.120817+00:00,Capeline en paille et hortensias séchés | 5f423064-5adf-4620-b9ca-45f9e486fca8,public,5,"Capeline magnifique, Diane est arrangeante et adorable !",ofProvider,Transaction object (0b679b8f-8a5f-4811-8770-7de07a515226),POSITIVE
bc0b3a2a-fb3c-40b8-88cf-7794499b8814,2021-12-16 10:45:58.125439+00:00,,public,5,Super transaction avec Léa-Raphaëlle ! je recommande +++,ofCustomer,Transaction object (51061cc3-b03a-4701-9063-22fee9e358f0),POSITIVE
c8f3917d-8ec9-4d74-9fd9-e488fdba8d20,2021-12-16 10:18:39.658425+00:00,Robe etam corail T34 | a37e7136-b284-499a-b4b7-14f6f044f896,public,5,"Hortense a été très flexible, adorable et arrangeante ! Robe très jolie, je recommande vivement !",ofProvider,Transaction object (df8d2d18-62d5-49b5-813e-d02892dd05cf),POSITIVE
4d7431f2-d0e8-4190-a47e-110bca6c500b,2021-12-16 10:16:34.713561+00:00,Robe Ba&sh T2 | 5fd266d8-5ce8-4809-9c97-5aa14cc5cdd9,public,5,Super location avec Anne !! je n'ai eu que des compliments sur la robe ! Merci encore ++++,ofProvider,Transaction object (6a16666a-635d-43e2-a9bf-0ad8b5db474b),POSITIVE
7210465e-8208-47a4-a1a4-29d4a212598e,2021-12-16 10:14:56.109011+00:00,Robe Sezane Rachelle jaune S | 8f89f8b9-53d2-4f6c-944b-e952cf67fddf,public,5,"Robe magnifique ! Anne-Cécile est une super Goldie qui a accepté de me l'envoyer, je recommande vivement !! Mille mercis ✨",ofProvider,Transaction object (5f279762-8f45-4dd8-bd1a-5320abe24803),POSITIVE
5212640a-a1bd-47be-9a03-01d13207d2fd,2021-12-15 19:49:41.881520+00:00,"Veste dorée Maison Guillemette, T.S | 3987517a-01d3-4397-9ad1-8b275567c189",public,5,Veste absolument magnifique ! Je recommande vivement Anne-Cécile et la veste qui donne du peps !!,ofProvider,Transaction object (4c2b3924-a52f-49c9-8d0c-a4a58bf9afed),POSITIVE
27831a09-3683-4423-84a1-e1ec45800b7d,2021-12-15 19:46:07.778416+00:00,"Robe Sézane Rachelle , T.36 | 29036d53-d59d-456b-8454-f551a613a14c",public,5,Super première expérience ! plateforme au top et la robe était sublime. Merci Hermine pour votre gentillesse,ofProvider,Transaction object (3125ebf0-575e-4a73-b35c-76f70355c7e8),POSITIVE
6671b5cc-3e31-4bcb-883c-9beb40e7f278,2021-12-15 19:43:25.977116+00:00,"Robe Ralina Maje, T.1 | 5ddf9b68-9015-451e-818c-923ce5789f3b",public,5,"Je recommande vivement Madeleine qui a été arrangeante et adorable, merci encore !",ofProvider,Transaction object (67ef2aa4-e2c9-45cb-9ac3-6aa3e1375d7c),POSITIVE
93e3e9ef-15da-415c-a0a6-d5e2723d169d,2021-12-15 18:26:06.271622+00:00,,public,5,Super transaction avec Aude ! Je recommande sans hésiter 🤩,ofCustomer,Transaction object (b4eea659-363a-4230-b18d-3964cc99faac),POSITIVE
9384d4ab-c5c8-4295-8aa0-789595a70b53,2021-12-13 11:33:03.378646+00:00,,public,5,Deuxième expérience avec Lorraine au top !,ofCustomer,Transaction object (8d03fc09-3501-4ea2-b515-6b6d385ea7e4),POSITIVE
8d06b5ea-fdb1-4fca-befc-72500726b3ee,2021-12-13 11:32:44.934546+00:00,,public,5,Je recommande vivement Lorraine ! Rapide et arrangeante ,ofCustomer,Transaction object (e5ef3a2f-6e16-4d3d-9c04-f3a991d7c293),POSITIVE
1af178cd-1016-4b47-ab4d-07dc88541884,2021-12-13 11:32:12.491457+00:00,,public,5,"Je recommande vivement Flore ! Arrangeante soigneuse et rapide pour le retour, un vrai plaisir 😍",ofCustomer,Transaction object (846e3506-f9e5-4f8a-b461-9d56995bc035),POSITIVE
f0fc3668-cef7-408c-b9a3-4e48c2d45592,2021-12-11 13:51:22.736593+00:00,,public,5,"Au top ! La location s’est très bien passée, je recommande vivement Marie-Aimée !",ofCustomer,Transaction object (dac4ddc4-e73d-4866-8a1f-604a0b7d9535),POSITIVE
b66deefa-ae17-4631-a1d2-a8c09fcc2748,2021-12-10 14:10:00.778675+00:00,Body cache coeur noir velours - Flair | a54956fe-c695-47f4-8aed-0cda3d43c66d,public,5,Super expérience! Gersende est tres arrangeante et le body magnifique 🤩,ofProvider,Transaction object (dac4ddc4-e73d-4866-8a1f-604a0b7d9535),POSITIVE
4bef7442-5d9b-47f1-a0b6-5b520603176b,2021-12-07 10:28:12.449233+00:00,,public,5,"Location au top ! Tout s’est ultra bien passé, Inès est très arrangeante et rapidement disponible, je recommande !",ofCustomer,Transaction object (1cdd68f2-b693-4ed0-80f1-7f76d2e6fd0b),POSITIVE
